Gene,Transcrit,Protein,Accession
Acc26106,Acc26106.1,c181.a3.a1,PSR95351
Acc26109,Acc26109.1,d2265.a1.a1,PSR95354
Acc26112,Acc26112.1,c420.a1.a1,PSR95357
Acc26113,Acc26113.1,b15.a7.a1,PSR95358
Acc26114,Acc26114.1,c118.a3.a1,PSR95359
Acc26121,Acc26121.1,c387.a3.a1,PSR95366
Acc26122,Acc26122.1,c696.a2.a1,PSR95367
Acc26124,Acc26124.1,d2153.a2.a1,PSR95369
Acc26126,Acc26126.1,d3234.a1.a1,PSR95371
Acc26135,Acc26135.1,c557.a5.a1,PSR95380
Acc26136,Acc26136.1,d2552.a1.a1,PSR95381
Acc26137,Acc26137.1,c859.a1.a1,PSR95382
Acc26141,Acc26141.1,c643.a1.a1,PSR95385
Acc26157,Acc26157.1,c197.a6.a1,PSR95401
Acc26161,Acc26161.1,d2480.a1.a1,PSR95405
Acc26167,Acc26167.1,c711.a2.a1,PSR95411
Acc26179,Acc26179.1,c260.a2.a1,PSR95422
Acc26180,Acc26180.1,d3293.a1.a1,PSR95423
Acc26183,Acc26183.1,b81.a4.a1,PSR95426
Acc26187,Acc26187.1,d1511.a1.a1,PSR95430
Acc26188,Acc26188.1,d1170.a1.a1,PSR95431
Acc26191,Acc26191.1,d3005.a1.a1,PSR95434
Acc26192,Acc26192.1,c167.a1.a1,PSR95435
Acc26196,Acc26196.1,d1498.a2.a1,PSR95439
Acc26205,Acc26205.1,d2900.a1.a1,PSR95448
Acc26206,Acc26206.1,c278.a1.a1,PSR95449
Acc26214,Acc26214.1,c503.a1.a1,PSR95457
Acc26221,Acc26221.1,d2340.a1.a1,PSR95464
Acc26224,Acc26224.1,d2974.a1.a1,PSR95467
Acc26226,Acc26226.1,d1745.a1.a1,PSR95469
Acc26227,Acc26227.1,d2569.a1.a1,PSR95470
Acc26233,Acc26233.1,c830.a3.a1,PSR95476
Acc26238,Acc26238.1,c189.a2.a1,PSR95481
Acc26243,Acc26243.1,c976.a2.a1,PSR95486
Acc26245,Acc26245.1,d3378.a1.a1,PSR95488
Acc26247,Acc26247.1,c993.a3.a1,PSR95490
Acc26248,Acc26248.1,d1285.a1.a1,PSR95491
Acc26252,Acc26252.1,d2450.a1.a1,PSR95495
Acc26255,Acc26255.1,d2384.a1.a1,PSR95498
Acc26258,Acc26258.1,a5.a2.a1,PSR95501
Acc26266,Acc26266.1,d3273.a1.a1,PSR95509
Acc26268,Acc26268.1,b17.a9.a1,PSR95511
Acc26270,Acc26270.1,b51.a3.a1,PSR95513
Acc26271,Acc26271.1,b51.a1.a1,PSR95514
Acc26274,Acc26274.1,d2179.a2.a1,PSR95517
Acc26280,Acc26280.1,d3235.a1.a1,PSR95523
Acc26290,Acc26290.1,d3147.a1.a1,PSR95533
Acc26297,Acc26297.1,d1846.a1.a1,PSR96249
Acc26301,Acc26301.1,c986.a2.a1,PSR96253
Acc26303,Acc26303.1,d2653.a1.a1,PSR96255
Acc26311,Acc26311.1,d1140.a2.a1,PSR96263
Acc26315,Acc26315.1,d2198.a2.a1,PSR96266
Acc26316,Acc26316.1,c551.a2.a1,PSR96267
Acc26322,Acc26322.1,c872.a1.a1,PSR96273
Acc26323,Acc26323.1,c637.a1.a1,PSR96274
Acc26328,Acc26328.1,b16.a2.a1,PSR96279
Acc26335,Acc26335.1,c421.a2.a1,PSR96286
Acc26340,Acc26340.1,d3059.a1.a1,PSR96291
Acc26351,Acc26351.1,c458.a3.a1,PSR96302
Acc26361,Acc26361.1,d1971.a1.a1,PSR96312
Acc26371,Acc26371.1,d1832.a1.a1,PSR96322
Acc26374,Acc26374.1,d1222.a5.a1,PSR96325
Acc26380,Acc26380.1,c274.a1.a1,PSR96331
Acc26382,Acc26382.1,d2342.a2.a1,PSR96333
Acc26384,Acc26384.1,b60.a9.a1,PSR96335
Acc26404,Acc26404.1,c586.a1.a1,PSR96355
Acc26412,Acc26412.1,c203.a2.a1,PSR96363
Acc26413,Acc26413.1,d1129.a1.a1,PSR96364
Acc26417,Acc26417.1,c648.a1.a1,PSR96368
Acc26426,Acc26426.1,c708.a1.a1,PSR96377
Acc26433,Acc26433.1,c482.b12.a1,PSR96384
Acc26434,Acc26434.1,c336.a1.a1,PSR96385
Acc26435,Acc26435.1,d1013.a2.a1,PSR96386
Acc26436,Acc26436.1,d1013.a3.a1,PSR96387
Acc26437,Acc26437.1,d1013.a4.a1,PSR96388
Acc26444,Acc26444.1,c138.a3.a1,PSR96395
Acc26449,Acc26449.1,c689.a3.a1,PSR96400
Acc26452,Acc26452.1,b27.a4.a1,PSR96403
Acc26453,Acc26453.1,b36.a2.a1,PSS16369
Acc26458,Acc26458.1,d1762.a1.a1,PSR96406
Acc26473,Acc26473.1,d1428.a1.a1,PSR96421
Acc26476,Acc26476.1,c818.a1.a1,PSR96424
Acc26478,Acc26478.1,c333.a6.a1,PSR96426
Acc26490,Acc26490.1,c837.a1.a1,PSR96438
Acc26498,Acc26498.1,d2467.a1.a1,PSR96446
Acc26500,Acc26500.1,d1793.a1.a1,PSR96448
Acc26501,Acc26501.1,b27.a1.a1,PSR96449
Acc26504,Acc26504.1,c689.a1.a1,PSR96452
Acc26508,Acc26508.1,c645.a2.a1,PSR96456
Acc26512,Acc26512.1,c794.a3.a1,PSR96460
Acc26516,Acc26516.1,d1253.a4.a1,PSR96464
Acc26521,Acc26521.1,c865.a4.a1,PSR96469
Acc26523,Acc26523.1,c767.a2.a1,PSR96471
Acc26528,Acc26528.1,c739.a1.a1,PSR96476
Acc26532,Acc26532.1,d2204.a1.a1,PSR96480
Acc26539,Acc26539.1,d1430.a2.a1,PSR96487
Acc26541,Acc26541.1,c114.a2.a1,PSR96489
Acc26543,Acc26543.1,d1616.a1.a1,PSR96491
Acc26545,Acc26545.1,d1616.a2.a1,PSR96492
Acc26546,Acc26546.1,d1616.a3.a1,PSR96494
Acc26554,Acc26554.1,d2702.a1.a1,PSR96502
Acc26560,Acc26560.1,c468.a4.a1,PSR96508
Acc26561,Acc26561.1,c468.a5.a1,PSR96509
Acc26571,Acc26571.1,b44.a3.a1,PSR96519
Acc26572,Acc26572.1,c330.a1.a1,PSR96520
Acc26575,Acc26575.1,d1333.a1.a1,PSR96523
Acc26576,Acc26576.1,d2352.a1.a1,PSR96524
Acc26577,Acc26577.1,d1728.a1.a1,PSR96525
Acc26578,Acc26578.1,d1579.a1.a1,PSR96526
Acc26581,Acc26581.1,d3380.a1.a1,PSR96529
Acc26583,Acc26583.1,c293.a2.a1,PSR96531
Acc26584,Acc26584.1,c112.a2.a1,PSR96532
Acc26586,Acc26586.1,d2833.a1.a1,PSR96534
Acc26593,Acc26593.1,d3148.a1.a1,PSR96541
Acc26608,Acc26608.1,d2116.a1.a1,PSR96556
Acc26610,Acc26610.1,d1154.a2.a1,PSR96558
Acc26615,Acc26615.1,d3236.a1.a1,PSR96563
Acc26625,Acc26625.1,d1257.a1.a1,PSR96573
Acc26628,Acc26628.1,d2517.a1.a1,PSR96576
Acc26629,Acc26629.1,d1772.a2.a1,PSR96577
Acc26637,Acc26637.1,d2258.a1.a1,PSR96585
Acc26644,Acc26644.1,b89.a1.a1,PSR96592
Acc26648,Acc26648.1,d1359.a2.a1,PSR96596
Acc26649,Acc26649.1,d1383.a3.a1,PSR96597
Acc26653,Acc26653.1,d1344.a1.a1,PSR96601
Acc26657,Acc26657.1,d1733.a1.a1,PSR96605
Acc26668,Acc26668.1,d1889.a3.a1,PSR96616
Acc26692,Acc26692.1,d3186.a1.a1,PSR96640
Acc26695,Acc26695.1,d1649.a1.a1,PSR96643
Acc26696,Acc26696.1,c138.a4.a1,PSR96644
Acc26724,Acc26724.1,c244.a1.a1,PSR96672
Acc26733,Acc26733.1,d3237.a1.a1,PSR96681
Acc26750,Acc26750.1,d2275.a1.a1,PSR96697
Acc26767,Acc26767.1,d1127.a2.a1,PSR96714
Acc26771,Acc26771.1,d2703.a1.a1,PSR96718
Acc26775,Acc26775.1,c243.a2.a1,PSR96722
Acc26783,Acc26783.1,d3187.a1.a1,PSR96730
Acc26786,Acc26786.1,d1232.a2.a1,PSR96733
Acc26797,Acc26797.1,c435.a2.a1,PSR96744
Acc26802,Acc26802.1,d1466.a1.a1,PSR96749
Acc26814,Acc26814.1,c915.a2.a1,PSR96760
Acc26816,Acc26816.1,c260.a4.a1,PSR96762
Acc26818,Acc26818.1,d2786.a1.a1,PSR96764
Acc26822,Acc26822.1,c828.a1.a1,PSR96768
Acc26832,Acc26832.1,c563.a2.a1,PSR96778
Acc26836,Acc26836.1,c744.a1.a1,PSR96782
Acc26841,Acc26841.1,c406.a2.a1,PSR96787
Acc26848,Acc26848.1,c810.a2.a1,PSR96793
Acc26850,Acc26850.1,c355.a4.a1,PSR96795
Acc26851,Acc26851.1,d2526.a1.a1,PSR96796
Acc26852,Acc26852.1,b32.a3.a1,PSR96797
Acc26854,Acc26854.1,d1171.a1.a1,PSR96799
Acc26858,Acc26858.1,b68.a3.a1,PSR96803
Acc26862,Acc26862.1,c182.a3.a1,PSR96807
Acc26863,Acc26863.1,b45.a4.a1,PSR96808
Acc26864,Acc26864.1,c716.a1.a1,PSR96809
Acc26867,Acc26867.1,d2532.a1.a1,PSR96812
Acc26870,Acc26870.1,c494.a1.a1,PSR96815
Acc26872,Acc26872.1,d2992.a1.a1,PSR96817
Acc26889,Acc26889.1,d1630.a1.a1,PSR96834
Acc26891,Acc26891.1,d1368.a2.a1,PSR96836
Acc26892,Acc26892.1,d2527.a1.a1,PSR96837
Acc26897,Acc26897.1,c622.a2.a1,PSR96843
Acc26901,Acc26901.1,d1460.a2.a1,PSR96847
Acc26902,Acc26902.1,c228.a2.a1,PSR96848
Acc26909,Acc26909.1,b29.a4.a1,PSR96855
Acc26924,Acc26924.1,d1626.a2.a1,PSR96870
Acc26930,Acc26930.1,b66.a2.a1,PSR96876
Acc26938,Acc26938.1,b39.a3.a1,PSR96884
Acc26945,Acc26945.1,c581.a1.a1,PSR96891
Acc26951,Acc26951.1,d2210.a2.a1,PSR96897
Acc26955,Acc26955.1,c531.a3.a1,PSR96901
Acc26956,Acc26956.1,c531.a2.a1,PSR96902
Acc26957,Acc26957.1,c720.a1.a1,PSR96903
Acc26966,Acc26966.1,c333.a7.a1,PSR96911
Acc26967,Acc26967.1,c773.a3.a1,PSR96912
Acc26971,Acc26971.1,d1123.a1.a1,PSR96915
Acc26972,Acc26972.1,d1453.a1.a1,PSR96916
Acc26977,Acc26977.1,d1987.a1.a1,PSR96921
Acc26979,Acc26979.1,d2600.a1.a1,PSR96923
Acc26994,Acc26994.1,d2180.a1.a1,PSR96938
Acc27004,Acc27004.1,d2413.a1.a1,PSR96948
Acc27005,Acc27005.1,d2879.a1.a1,PSR96949
Acc27007,Acc27007.1,c383.a1.a1,PSR96951
Acc27011,Acc27011.1,d1566.a1.a1,PSR96955
Acc27013,Acc27013.1,c407.a5.a1,PSR96957
Acc27014,Acc27014.1,c932.a2.a1,PSR96958
Acc27029,Acc27029.1,c156.a3.a1,PSR96973
Acc27031,Acc27031.1,c785.a1.a1,PSR96975
Acc27038,Acc27038.1,c962.a2.a1,PSR96982
Acc27039,Acc27039.1,c463.a2.a1,PSR96983
Acc27045,Acc27045.1,d3060.a1.a1,PSR96989
Acc27049,Acc27049.1,d2463.a1.a1,PSR96993
Acc27063,Acc27063.1,d1329.a1.a1,PSR92446
Acc27064,Acc27064.1,d1203.a1.a1,PSR92447
Acc27073,Acc27073.1,c923.a3.a1,PSR92456
Acc27075,Acc27075.1,d1810.a1.a1,PSR92458
Acc27077,Acc27077.1,d2971.a1.a1,PSR92460
Acc27084,Acc27084.1,c175.a4.a1,PSR92467
Acc27087,Acc27087.1,d2510.a2.a1,PSR92470
Acc27089,Acc27089.1,d2698.a1.a1,PSR92472
Acc27094,Acc27094.1,c449.a1.a1,PSR92477
Acc27095,Acc27095.1,d1704.a1.a1,PSR92478
Acc27098,Acc27098.1,d3028.a1.a1,PSR92481
Acc27108,Acc27108.1,c218.a1.a1,PSR92490
Acc27115,Acc27115.1,d1049.a1.a1,PSR92497
Acc27121,Acc27121.1,c880.a1.a1,PSR92503
Acc27123,Acc27123.1,d2618.a1.a1,PSR92505
Acc27132,Acc27132.1,d2446.a1.a1,PSR92514
Acc27141,Acc27141.1,d1724.a1.a1,PSR92522
Acc27148,Acc27148.1,c245.a9.a1,PSR92529
Acc27154,Acc27154.1,c201.a4.a1,PSR92535
Acc27155,Acc27155.1,c201.a2.a1,PSR92536
Acc27156,Acc27156.1,c201.a6.a1,PSR92537
Acc27159,Acc27159.1,c201.a5.a1,PSR92540
Acc27162,Acc27162.1,c201.a9.a1,PSR92543
Acc27166,Acc27166.1,c201.b11.a1,PSR92547
Acc27169,Acc27169.1,c201.a3.a1,PSR92548
Acc27171,Acc27171.1,c201.a8.a1,PSR92550
Acc27176,Acc27176.1,c201.b12.a1,PSR92555
Acc27177,Acc27177.1,c891.a1.a1,PSR92556
Acc27186,Acc27186.1,d2282.a1.a1,PSR92565
Acc27187,Acc27187.1,d3232.a1.a1,PSR92566
Acc27188,Acc27188.1,d1544.a1.a1,PSR92567
Acc27192,Acc27192.1,d2531.a1.a1,PSR92571
Acc27196,Acc27196.1,c104.a3.a1,PSR92575
Acc27199,Acc27199.1,d2109.a1.a1,PSR92578
Acc27201,Acc27201.1,d2136.a1.a1,PSR92580
Acc27223,Acc27223.1,c724.a2.a1,PSR92625
Acc27232,Acc27232.1,d2021.a1.a1,PSR92634
Acc27255,Acc27255.1,b35.b19.a1,PSR92656
Acc27256,Acc27256.1,c521.a2.a1,PSR92657
Acc27266,Acc27266.1,d2159.a2.a1,PSR92667
Acc27271,Acc27271.1,d2916.a1.a1,PSR92672
Acc27276,Acc27276.1,b44.a4.a1,PSR92677
Acc27290,Acc27290.1,d1314.a2.a1,PSR92691
Acc27291,Acc27291.1,d1314.a1.a1,PSR92692
Acc27292,Acc27292.1,d1942.a1.a1,PSR92693
Acc27294,Acc27294.1,c715.a1.a1,PSR92695
Acc27296,Acc27296.1,a3.a6.a1,PSR92697
Acc27303,Acc27303.1,d1183.a2.a1,PSR92704
Acc27308,Acc27308.1,c804.a1.a1,PSR92709
Acc27309,Acc27309.1,c857.a1.a1,PSR92710
Acc27318,Acc27318.1,d1549.a1.a1,PSR92719
Acc27322,Acc27322.1,c439.a2.a1,PSR92723
Acc27325,Acc27325.1,d1527.a1.a1,PSR92726
Acc27329,Acc27329.1,d1462.a1.a1,PSR92730
Acc27332,Acc27332.1,d2477.a1.a1,PSR92733
Acc27341,Acc27341.1,c621.a3.a1,PSR92742
Acc27350,Acc27350.1,c241.a2.a1,PSR92751
Acc27357,Acc27357.1,c995.a2.a1,PSR92758
Acc27361,Acc27361.1,d3139.a1.a1,PSR92762
Acc27362,Acc27362.1,c684.a2.a1,PSR92763
Acc27366,Acc27366.1,c848.a1.a1,PSR92767
Acc27369,Acc27369.1,d1115.a3.a1,PSR92770
Acc27374,Acc27374.1,c106.a1.a1,PSR92775
Acc27386,Acc27386.1,d2598.a1.a1,PSR92787
Acc27394,Acc27394.1,d1275.a1.a1,PSR92795
Acc27395,Acc27395.1,c983.a1.a1,PSR92796
Acc27401,Acc27401.1,d1719.a1.a1,PSR92802
Acc27409,Acc27409.1,d1042.a2.a1,PSR92809
Acc27416,Acc27416.1,d1205.a1.a1,PSR92815
Acc27418,Acc27418.1,d2640.a1.a1,PSR92817
Acc27421,Acc27421.1,d1422.a1.a1,PSR92819
Acc27434,Acc27434.1,d2609.a1.a1,PSR92832
Acc27437,Acc27437.1,b99.a2.a1,PSR92835
Acc27440,Acc27440.1,d1874.a1.a1,PSR92837
Acc27447,Acc27447.1,d1510.a3.a1,PSR92844
Acc27456,Acc27456.1,d1534.a1.a1,PSR92853
Acc27458,Acc27458.1,d2931.a2.a1,PSR92855
Acc27468,Acc27468.1,c399.a2.a1,PSR92865
Acc27472,Acc27472.1,c153.a3.a1,PSR92869
Acc27478,Acc27478.1,d1401.a9.a1,PSR92875
Acc27506,Acc27506.1,d1109.a1.a1,PSR92903
Acc27508,Acc27508.1,c661.a1.a1,PSR92905
Acc27511,Acc27511.1,d2081.a2.a1,PSR92908
Acc27512,Acc27512.1,d2081.a1.a1,PSR92909
Acc27516,Acc27516.1,d1811.a1.a1,PSR92913
Acc27521,Acc27521.1,c546.a3.a1,PSR92918
Acc27522,Acc27522.1,d1421.a1.a1,PSR92919
Acc27523,Acc27523.1,d1293.a1.a1,PSR92920
Acc27524,Acc27524.1,c898.a1.a1,PSR92921
Acc27525,Acc27525.1,d1870.a1.a1,PSR92922
Acc27527,Acc27527.1,d2877.a1.a1,PSR92924
Acc27532,Acc27532.1,d1018.a2.a1,PSR92929
Acc27533,Acc27533.1,c463.a5.a1,PSR92930
Acc27535,Acc27535.1,c993.a1.a1,PSR92932
Acc27539,Acc27539.1,d2998.a2.a1,PSR92936
Acc27547,Acc27547.1,d1325.a1.a1,PSR92943
Acc27549,Acc27549.1,b91.a3.a1,PSR92945
Acc27557,Acc27557.1,d1530.a1.a1,PSR92953
Acc27561,Acc27561.1,d1965.a3.a1,PSR92957
Acc27562,Acc27562.1,c947.a4.a1,PSR92958
Acc27577,Acc27577.1,d1343.a2.a1,PSR92973
Acc27578,Acc27578.1,d1826.a1.a1,PSR92974
Acc27588,Acc27588.1,d2545.a1.a1,PSR92979
Acc27597,Acc27597.1,d2795.a2.a1,PSR92988
Acc27598,Acc27598.1,c984.a1.a1,PSR92989
Acc27604,Acc27604.1,d3372.a1.a1,PSR92995
Acc27608,Acc27608.1,d2560.a1.a1,PSR92999
Acc27612,Acc27612.1,d1660.a1.a1,PSR93003
Acc27615,Acc27615.1,d1784.a3.a1,PSR93006
Acc27616,Acc27616.1,c249.a1.a1,PSR93007
Acc27617,Acc27617.1,d1694.a1.a1,PSR93008
Acc27618,Acc27618.1,d1133.a2.a1,PSR93009
Acc27622,Acc27622.1,d2474.a2.a1,PSR93013
Acc27624,Acc27624.1,c536.a1.a1,PSR93015
Acc27640,Acc27640.1,c775.a1.a1,PSR93031
Acc27641,Acc27641.1,c976.a3.a1,PSR93032
Acc27643,Acc27643.1,d1517.a1.a1,PSR93034
Acc27644,Acc27644.1,d1981.a1.a1,PSR93035
Acc27651,Acc27651.1,d2912.a1.a1,PSR93042
Acc27654,Acc27654.1,c601.a1.a1,PSR93045
Acc27658,Acc27658.1,d2080.a3.a1,PSR93049
Acc27660,Acc27660.1,d1084.a1.a1,PSR93051
Acc27661,Acc27661.1,d2720.a1.a1,PSR93052
Acc27672,Acc27672.1,d1168.a2.a1,PSR93063
Acc27676,Acc27676.1,d1669.a3.a1,PSR93067
Acc27683,Acc27683.1,d1243.a2.a1,PSR93074
Acc27686,Acc27686.1,d1020.a1.a1,PSR93077
Acc27688,Acc27688.1,d2925.a1.a1,PSR93079
Acc27692,Acc27692.1,d1380.a1.a1,PSR93083
Acc27694,Acc27694.1,d2443.a1.a1,PSR93085
Acc27697,Acc27697.1,d1609.a1.a1,PSR93088
Acc27705,Acc27705.1,d1526.a3.a1,PSR93095
Acc27707,Acc27707.1,a9.a5.a1,PSR93097
Acc27711,Acc27711.1,d1446.a2.a1,PSR93101
Acc27712,Acc27712.1,a8.a2.a1,PSR93102
Acc27716,Acc27716.1,c115.a2.a1,PSR93106
Acc27722,Acc27722.1,d1449.a1.a1,PSR93112
Acc27727,Acc27727.1,d3373.a1.a1,PSR93117
Acc27737,Acc27737.1,c351.a1.a1,PSR93127
Acc27738,Acc27738.1,c558.a1.a1,PSR93128
Acc27740,Acc27740.1,d1961.a1.a1,PSR93130
Acc27742,Acc27742.1,d2388.a2.a1,PSR93132
Acc27750,Acc27750.1,d1110.a1.a1,PSR93140
Acc27751,Acc27751.1,c269.a2.a1,PSR93141
Acc27754,Acc27754.1,d1581.a1.a1,PSR93144
Acc27757,Acc27757.1,d1401.a4.a1,PSR93147
Acc27762,Acc27762.1,c344.a1.a1,PSR93152
Acc27767,Acc27767.1,d2191.a1.a1,PSR93157
Acc27768,Acc27768.1,d2223.a1.a1,PSR93158
Acc27771,Acc27771.1,d3374.a1.a1,PSR93161
Acc27772,Acc27772.1,d2665.a1.a1,PSR93162
Acc27778,Acc27778.1,d1923.a1.a1,PSR93168
Acc27781,Acc27781.1,c825.a3.a1,PSR93171
Acc27787,Acc27787.1,d1591.a1.a1,PSR93177
Acc27790,Acc27790.1,d2226.a1.a1,PSR93180
Acc27794,Acc27794.1,d1531.a2.a1,PSR93184
Acc27795,Acc27795.1,c206.a2.a1,PSR93185
Acc27798,Acc27798.1,c526.a1.a1,PSR93188
Acc27812,Acc27812.1,c616.a3.a1,PSR93202
Acc27816,Acc27816.1,d3233.a1.a1,PSR93206
Acc27818,Acc27818.1,d2238.a1.a1,PSR93208
Acc27821,Acc27821.1,a4.a4.a1,PSR93211
Acc27827,Acc27827.1,d1991.a1.a1,PSR93217
Acc27832,Acc27832.1,d2742.a1.a1,PSR93222
Acc27833,Acc27833.1,d1304.a1.a1,PSR93223
Acc27848,Acc27848.1,d2765.a1.a1,PSR93238
Acc27850,Acc27850.1,d1041.a2.a1,PSR93240
Acc27860,Acc27860.1,d1642.a1.a1,PSR93250
Acc27863,Acc27863.1,c370.a1.a1,PSR93252
Acc27865,Acc27865.1,c750.a1.a1,PSR93254
Acc27868,Acc27868.1,d2360.a1.a1,PSR93257
Acc27869,Acc27869.1,d1985.a3.a1,PSR93258
Acc27876,Acc27876.1,d2331.a1.a1,PSR93265
Acc27877,Acc27877.1,d1067.a1.a1,PSR93266
Acc27886,Acc27886.1,d2487.a2.a1,PSR93275
Acc27889,Acc27889.1,d1441.a1.a1,PSR93277
Acc27891,Acc27891.1,d1647.a2.a1,PSR93279
Acc27892,Acc27892.1,c712.a1.a1,PSR93280
Acc27904,Acc27904.1,c482.b16.a1,PSR93292
Acc27932,Acc27932.1,d1263.a2.a1,PSR93320
Acc27935,Acc27935.1,d1515.a1.a1,PSR93323
Acc27952,Acc27952.1,d1163.a1.a1,PSR93340
Acc27954,Acc27954.1,d1677.a2.a1,PSR93342
Acc27960,Acc27960.1,d1848.a1.a1,PSR93348
Acc27964,Acc27964.1,d1595.a1.a1,PSR93352
Acc27965,Acc27965.1,d1978.a2.a1,PSR93353
Acc27969,Acc27969.1,d1703.a1.a1,PSR93357
Acc27970,Acc27970.1,b13.a3.a1,PSR93358
Acc27971,Acc27971.1,d1223.a1.a1,PSR93359
Acc27973,Acc27973.1,c800.a1.a1,PSR93361
Acc27974,Acc27974.1,c734.a1.a1,PSR93362
Acc27976,Acc27976.1,d1046.a1.a1,PSR93364
Acc27979,Acc27979.1,d2599.a1.a1,PSR93366
Acc27984,Acc27984.1,d1623.a1.a1,PSR93371
Acc27998,Acc27998.1,b59.a2.a1,PSR93385
Acc28004,Acc28004.1,c474.a1.a1,PSR93391
Acc28008,Acc28008.1,c190.a1.a1,PSR93395
Acc28044,Acc28044.1,c817.a1.a1,PSR93431
Acc28049,Acc28049.1,d2187.a1.a1,PSR93436
Acc28052,Acc28052.1,d1906.a1.a1,PSR93439
Acc28056,Acc28056.1,d2162.a1.a1,PSR93443
Acc28065,Acc28065.1,b76.a1.a1,PSR93451
Acc28066,Acc28066.1,d2658.a1.a1,PSR93452
Acc28069,Acc28069.1,c918.a1.a1,PSR93455
Acc28078,Acc28078.1,d1738.a1.a1,PSR93464
Acc28082,Acc28082.1,c471.a3.a1,PSR93468
Acc28083,Acc28083.1,c482.a4.a1,PSR93469
Acc28105,Acc28105.1,d3375.a1.a1,PSR93491
Acc28115,Acc28115.1,d3078.a1.a1,PSR93501
Acc28119,Acc28119.1,c978.a1.a1,PSR93505
Acc28128,Acc28128.1,c219.b10.a1,PSR93514
Acc28131,Acc28131.1,d3058.a1.a1,PSR93517
Acc28132,Acc28132.1,c650.a1.a1,PSR93518
Acc28135,Acc28135.1,d2254.a1.a1,PSR93521
Acc28152,Acc28152.1,d1262.a2.a1,PSR93538
Acc28176,Acc28176.1,d2499.a1.a1,PSR93562
Acc28187,Acc28187.1,c966.a1.a1,PSR93573
Acc28192,Acc28192.1,d2004.a1.a1,PSR93578
Acc28195,Acc28195.1,c227.a2.a1,PSR93581
Acc28200,Acc28200.1,c787.a2.a1,PSR93586
Acc28201,Acc28201.1,d2591.a1.a1,PSR93587
Acc28216,Acc28216.1,c692.a1.a1,PSR93602
Acc28217,Acc28217.1,b84.a3.a1,PSR93603
Acc28227,Acc28227.1,d1135.a1.a1,PSR93613
Acc28249,Acc28249.1,d1452.a1.a1,PSR90964
Acc28253,Acc28253.1,d2328.a1.a1,PSR90951
Acc28269,Acc28269.1,c776.a1.a1,PSR90972
Acc28270,Acc28270.1,c370.a2.a1,PSR90950
Acc28271,Acc28271.1,c137.a1.a1,PSR90949
Acc28272,Acc28272.1,d2076.a1.a1,PSR90948
Acc28273,Acc28273.1,d3371.a1.a1,PSR90947
Acc28276,Acc28276.1,c713.a1.a1,PSR90944
Acc28283,Acc28283.1,d1718.a1.a1,PSR90937
Acc28285,Acc28285.1,d1078.a1.a1,PSR90909
Acc28293,Acc28293.1,d1865.a1.a1,PSR90977
Acc28301,Acc28301.1,c786.a1.a1,PSR90985
Acc28305,Acc28305.1,d2656.a1.a1,PSR90989
Acc28306,Acc28306.1,d3291.a1.a1,PSR90990
Acc28307,Acc28307.1,d1533.a1.a1,PSR90991
Acc28312,Acc28312.1,d3146.a1.a1,PSR90996
Acc28317,Acc28317.1,d2717.a1.a1,PSR91001
Acc28319,Acc28319.1,d1825.a1.a1,PSR91003
Acc28320,Acc28320.1,d1437.a1.a1,PSR91004
Acc28325,Acc28325.1,d2718.a1.a1,PSR91009
Acc28328,Acc28328.1,d3114.a1.a1,PSR91012
Acc28331,Acc28331.1,d2079.a2.a1,PSR91015
Acc28334,Acc28334.1,d2806.a1.a1,PSR91017
Acc28355,Acc28355.1,d3271.a1.a1,PSR90929
Acc28358,Acc28358.1,b47.a4.a1,PSR90931
Acc28362,Acc28362.1,d1802.a1.a1,PSR91022
Acc28386,Acc28386.1,c419.a4.a1,PSR91045
Acc28398,Acc28398.1,b59.a1.a1,PSR91057
Acc28399,Acc28399.1,d1277.a2.a1,PSR91058
Acc28403,Acc28403.1,d1030.a3.a1,PSR91062
Acc28408,Acc28408.1,c461.a4.a1,PSR91067
Acc28432,Acc28432.1,d1282.a1.a1,PSR91090
Acc28447,Acc28447.1,c337.a1.a1,PSR91105
Acc28449,Acc28449.1,b47.a3.a1,PSR91107
Acc28458,Acc28458.1,c323.a1.a1,PSR91116
Acc28470,Acc28470.1,d1398.a2.a1,PSR91128
Acc28485,Acc28485.1,d1608.a1.a1,PSR91143
Acc28488,Acc28488.1,d1130.a2.a1,PSR91146
Acc28492,Acc28492.1,c391.a2.a1,PSR91150
Acc28501,Acc28501.1,d2329.a1.a1,PSR91159
Acc28502,Acc28502.1,d2937.a1.a1,PSR91160
Acc28504,Acc28504.1,d2281.a1.a1,PSR91162
Acc28506,Acc28506.1,d1909.a1.a1,PSR91164
Acc28510,Acc28510.1,d2047.a1.a1,PSR91168
Acc28511,Acc28511.1,d1363.a1.a1,PSR91169
Acc28516,Acc28516.1,c541.a2.a1,PSR91174
Acc28556,Acc28556.1,d2784.a1.a1,PSR91214
Acc28561,Acc28561.1,b65.a1.a1,PSR91219
Acc28571,Acc28571.1,d1869.a1.a1,PSR91229
Acc28576,Acc28576.1,d2026.a1.a1,PSR91234
Acc28578,Acc28578.1,b35.a6.a1,PSR91236
Acc28591,Acc28591.1,d1181.a2.a1,PSR91248
Acc28593,Acc28593.1,c125.a3.a1,PSR91250
Acc28594,Acc28594.1,c695.a2.a1,PSR91251
Acc28597,Acc28597.1,c765.a1.a1,PSR91254
